task,method,points,memory,params
task345,unsolved,0.0,0,0
task346,unsolved,0.0,0,0
task347,unsolved,0.0,0,0
task348,unsolved,0.0,0,0
task349,unsolved,0.0,0,0
task350,unsolved,0.0,0,0
task351,unsolved,0.0,0,0
task352,unsolved,0.0,0,0
task353,unsolved,0.0,0,0
task354,unsolved,0.0,0,0
task355,unsolved,0.0,0,0
task356,unsolved,0.0,0,0
task357,unsolved,0.0,0,0
task358,unsolved,0.0,0,0
task359,unsolved,0.0,0,0
task360,unsolved,0.0,0,0
task361,unsolved,0.0,0,0
task362,unsolved,0.0,0,0
task363,unsolved,0.0,0,0
task364,unsolved,0.0,0,0
task365,unsolved,0.0,0,0
task366,unsolved,0.0,0,0
task367,unsolved,0.0,0,0
task368,unsolved,0.0,0,0
task369,unsolved,0.0,0,0
task370,unsolved,0.0,0,0
task371,unsolved,0.0,0,0
task372,unsolved,0.0,0,0
task373,unsolved,0.0,0,0
task374,unsolved,0.0,0,0
task375,unsolved,0.0,0,0
task376,unsolved,0.0,0,0
task377,unsolved,0.0,0,0
task378,unsolved,0.0,0,0
task379,unsolved,0.0,0,0
task380,unsolved,0.0,0,0
task381,unsolved,0.0,0,0
task382,unsolved,0.0,0,0
task383,unsolved,0.0,0,0
task384,unsolved,0.0,0,0
task385,unsolved,0.0,0,0
task386,unsolved,0.0,0,0
task387,unsolved,0.0,0,0
task388,unsolved,0.0,0,0
task389,unsolved,0.0,0,0
task390,unsolved,0.0,0,0
task391,unsolved,0.0,0,0
task392,unsolved,0.0,0,0
task393,unsolved,0.0,0,0
task394,unsolved,0.0,0,0
task395,unsolved,0.0,0,0
task396,unsolved,0.0,0,0
task397,unsolved,0.0,0,0
task398,unsolved,0.0,0,0
task399,unsolved,0.0,0,0
task400,unsolved,0.0,0,0
